Map,Round_Type,Blue_Team,Red_Team,time_stamp,length,KB,KR,UB,UR,FB
Numbani,Attack,?SHD,?DAL,0:28,0,0,1,0,0,R
Numbani,Defense,?SHD,?DAL,1:49,16,4,0,2,0,B
Numbani,Defense,?SHD,?DAL,0:06,74,5,10,1,2,B
Ilios,Lighthouse,?SHD,?DAL,3:30,29,2,6,3,2,R
Ilios,Lighthouse,?SHD,?DAL,2:49,14,4,0,2,0,B
Ilios,Lighthouse,?SHD,?DAL,1:44,41,7,2,4,5,B
Ilios,Lighthouse,?SHD,?DAL,1:01,15,2,4,0,2,R
Ilios,Lighthouse,?SHD,?DAL,0:16,5,0,2,0,0,R
Ilios,Ruins,?SHD,?DAL,5:09,21,2,4,3,2,R
Ilios,Ruins,?SHD,?DAL,3:51,63,8,7,2,2,B
Ilios,Ruins,?SHD,?DAL,3:07,19,2,5,2,3,R
Ilios,Ruins,?SHD,?DAL,2:23,20,5,0,2,2,B
Ilios,Ruins,?SHD,?DAL,1:44,9,0,2,0,0,R
Ilios,Ruins,?SHD,?DAL,0:36,21,5,5,0,1,B
Junkertown,Attack,?SHD,?DAL,8:51,23,0,4,2,3,R
Junkertown,Attack,?SHD,?DAL,7:50,52,6,6,2,2,B
Junkertown,Attack,?SHD,?DAL,7:00,19,4,0,0,0,B
Junkertown,Attack,?SHD,?DAL,6:42,2,1,1,0,1,B
Junkertown,Attack,?SHD,?DAL,5:35,26,1,6,0,2,B
Junkertown,Attack,?SHD,?DAL,3:14,88,9,7,4,6,R
Junkertown,Attack,?SHD,?DAL,2:48,14,1,1,0,1,R
Junkertown,Attack,?SHD,?DAL,2:29,9,1,2,1,1,R
Junkertown,Attack,?SHD,?DAL,1:42,15,1,3,2,3,B
Junkertown,Attack,?SHD,?DAL,0:52,13,3,3,1,1,B
Junkertown,Attack,?SHD,?DAL,0:32,0,1,1,0,0,R
Junkertown,Defense,?SHD,?DAL,3:51,20,4,1,3,1,B
Junkertown,Defense,?SHD,?DAL,2:57,32,7,3,2,0,B
Junkertown,Defense,?SHD,?DAL,1:02,17,1,6,0,0,R
Junkertown,Defense,?SHD,?DAL,1:55,30,5,0,2,5,B
Junkertown,Defense,?SHD,?DAL,0:34,0,0,1,0,0,R
Junkertown,Defense,?SHD,?DAL,0:05,7,0,3,0,0,R
Junkertown,Defense,?SHD,?DAL,4:38,72,9,5,3,5,B
Junkertown,Defense,?SHD,?DAL,6:20,19,6,0,0,3,B
Blizzard World,Attack,?GLA,?SFS,0:39,8,3,0,1,0,B
Blizzard World,Attack,?GLA,?SFS,1:27,19,6,1,4,1,B
Blizzard World,Attack,?GLA,?SFS,2:19,27,3,3,1,1,B
Blizzard World,Attack,?GLA,?SFS,3:10,26,3,1,2,1,B
Blizzard World,Attack,?GLA,?SFS,3:54,27,0,4,0,1,R
Blizzard World,Attack,?GLA,?SFS,4:41,9,1,1,1,2,B
Blizzard World,Attack,?GLA,?SFS,4:56,16,4,1,1,1,B
Blizzard World,Attack,?GLA,?SFS,5:47,12,1,6,0,2,R
Blizzard World,Attack,?GLA,?SFS,6:35,7,0,1,0,1,R
Blizzard World,Attack,?GLA,?SFS,6:53,28,2,5,2,2,R
Blizzard World,Attack,?GLA,?SFS,7:43,34,1,6,4,4,B
Blizzard World,Defense,?GLA,?SFS,0:19,4,2,1,0,0,B
Blizzard World,Defense,?GLA,?SFS,0:57,16,2,1,0,0,B
Blizzard World,Defense,?GLA,?SFS,1:37,0,1,0,0,0,B
Blizzard World,Defense,?GLA,?SFS,2:04,14,3,0,0,1,B
Blizzard World,Defense,?GLA,?SFS,2:51,11,1,0,3,2,B
Blizzard World,Defense,?GLA,?SFS,3:16,29,4,0,1,0,B
Blizzard World,Defense,?GLA,?SFS,4:17,14,3,0,1,0,B
Horizon Lunar Colony,Attack,?GLA,?SFS,0:53,11,6,1,0,0,B
Horizon Lunar Colony,Attack,?GLA,?SFS,1:44,56,10,4,6,1,B
Horizon Lunar Colony,Attack,?GLA,?SFS,3:15,5,2,0,2,0,B
Horizon Lunar Colony,Attack,?GLA,?SFS,3:42,12,5,0,1,1,B
Horizon Lunar Colony,Defense,?GLA,?SFS,0:31,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,0:50,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,1:12,2,1,1,1,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,1:29,7,3,0,0,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,2:03,6,3,1,1,1,R
Horizon Lunar Colony,Defense,?GLA,?SFS,2:32,0,0,1,0,0,R
Horizon Lunar Colony,Defense,?GLA,?SFS,2:49,20,0,6,3,2,R
Horizon Lunar Colony,Defense,?GLA,?SFS,3:42,46,5,2,3,3,B
Horizon Lunar Colony,Defense,?GLA,?SFS,5:01,10,3,2,0,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,5:29,0,1,0,0,0,B
Horizon Lunar Colony,Defense,?GLA,?SFS,5:42,40,5,0,3,2,B
Horizon Lunar Colony,Defense,?GLA,?SFS,6:53,26,3,5,2,1,R
Horizon Lunar Colony,Defense,?GLA,?SFS,7:31,30,0,7,2,5,R
Horizon Lunar Colony,Attack,?GLA,?SFS,0:37,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?GLA,?SFS,0:52,0,0,1,0,0,R
Horizon Lunar Colony,Attack,?GLA,?SFS,1:20,13,1,2,0,0,R
Horizon Lunar Colony,Attack,?GLA,?SFS,1:49,0,1,0,0,0,B
Horizon Lunar Colony,Attack,?GLA,?SFS,2:02,16,5,1,4,1,B
Lijiang Tower,Garden,?GLA,?SFS,0:54,30,6,2,5,2,B
Lijiang Tower,Garden,?GLA,?SFS,1:53,6,3,0,0,0,B
Lijiang Tower,Garden,?GLA,?SFS,2:33,8,5,1,3,2,B
Lijiang Tower,Garden,?GLA,?SFS,3:09,26,6,1,3,1,B
Lijiang Tower,Night Market,?GLA,?SFS,0:18,13,5,0,0,0,B
Lijiang Tower,Night Market,?GLA,?SFS,0:59,15,3,1,2,0,B
Lijiang Tower,Night Market,?GLA,?SFS,1:33,7,1,2,2,2,B
Lijiang Tower,Night Market,?GLA,?SFS,1:57,15,0,4,0,0,R
Lijiang Tower,Night Market,?GLA,?SFS,2:38,49,5,6,5,5,R
Lijiang Tower,Night Market,?GLA,?SFS,3:46,39,8,3,2,2,B
Lijiang Tower,Night Market,?GLA,?SFS,4:41,28,5,1,4,1,B
Watchpoint: Gibraltar,Attack,?GLA,?SFS,0:29,12,0,3,0,0,R
Watchpoint: Gibraltar,Attack,?GLA,?SFS,0:56,0,0,1,0,0,R
Watchpoint: Gibraltar,Attack,?GLA,?SFS,1:17,7,1,1,0,0,B
Watchpoint: Gibraltar,Attack,?GLA,?SFS,1:37,10,4,0,0,1,B
Watchpoint: Gibraltar,Attack,?GLA,?SFS,2:05,19,3,0,1,1,B
Watchpoint: Gibraltar,Attack,?GLA,?SFS,2:45,22,2,4,4,2,B
Watchpoint: Gibraltar,Attack,?GLA,?SFS,3:25,15,0,3,0,2,R
Watchpoint: Gibraltar,Attack,?GLA,?SFS,4:05,8,0,1,0,0,R
Watchpoint: Gibraltar,Attack,?GLA,?SFS,5:23,26,1,3,1,0,R
Watchpoint: Gibraltar,Attack,?GLA,?SFS,6:08,51,1,9,3,5,R
Watchpoint: Gibraltar,Defense,?GLA,?SFS,0:46,37,0,8,0,1,R
Watchpoint: Gibraltar,Defense,?GLA,?SFS,1:47,13,0,5,2,4,R
Dorado,Attack,?SHD,?GLA,3:44,31,1,7,4,3,B
Dorado,Attack,?SHD,?GLA,2:54,23,0,3,0,0,R
Dorado,Attack,?SHD,?GLA,2:06,12,0,3,1,2,R
Dorado,Attack,?SHD,?GLA,1:02,33,3,5,4,2,B
Dorado,Defense,?SHD,?GLA,0:19,23,1,6,0,1,R
Temple of Anubis,Attack,?SHD,?GLA,7:49,14,2,1,1,1,B
Temple of Anubis,Attack,?SHD,?GLA,8:08,25,4,5,0,0,B
Temple of Anubis,Attack,?SHD,?GLA,7:27,0,0,1,1,0,R
Temple of Anubis,Attack,?SHD,?GLA,6:51,6,1,4,1,0,R
Temple of Anubis,Attack,?SHD,?GLA,5:27,46,3,6,5,4,B
Temple of Anubis,Attack,?SHD,?GLA,4:43,24,1,5,0,1,R
Temple of Anubis,Attack,?SHD,?GLA,3:57,16,1,5,1,0,R
Temple of Anubis,Attack,?SHD,?GLA,3:14,13,1,3,0,1,R
Temple of Anubis,Attack,?SHD,?GLA,2:05,38,1,6,3,3,B
Temple of Anubis,Attack,?SHD,?GLA,0:19,6,0,2,0,0,R
Temple of Anubis,Attack,?SHD,?GLA,1:00,40,6,5,2,3,B
Temple of Anubis,Defense,?SHD,?GLA,0:45,15,0,6,0,2,R
Temple of Anubis,Defense,?SHD,?GLA,0:23,0,1,0,0,0,B
Temple of Anubis,Defense,?SHD,?GLA,1:34,27,3,8,0,3,B
Ilios,Well,?SHD,?GLA,5:40,24,0,6,0,0,R
Ilios,Well,?SHD,?GLA,4:27,66,4,10,4,6,R
Ilios,Well,?SHD,?GLA,3:32,34,7,4,3,4,B
Ilios,Well,?SHD,?GLA,2:34,30,5,1,2,1,R
Ilios,Well,?SHD,?GLA,2:09,10,0,4,1,0,R
Ilios,Well,?SHD,?GLA,0:33,17,0,6,0,0,R
Ilios,Well,?SHD,?GLA,1:26,16,2,6,0,2,B
Ilios,Ruins,?SHD,?GLA,2:42,36,1,4,2,3,R
Ilios,Ruins,?SHD,?GLA,2:08,17,1,3,1,2,R
Ilios,Ruins,?SHD,?GLA,1:14,30,4,7,2,1,R
Ilios,Ruins,?SHD,?GLA,0:24,6,3,1,0,0,B
Ilios,Ruins,?SHD,?GLA,3:40,19,0,6,2,4,R
Eichenwalde,Attack,?SHD,?GLA,3:55,46,6,5,4,4,B
Eichenwalde,Attack,?SHD,?GLA,2:49,42,2,7,3,4,B
Eichenwalde,Attack,?SHD,?GLA,1:57,21,1,5,1,3,B
Eichenwalde,Attack,?SHD,?GLA,0:27,15,1,6,0,0,R
Eichenwalde,Attack,?SHD,?GLA,1:11,28,1,5,0,2,R
Eichenwalde,Defense,?SHD,?GLA,1:25,37,0,8,6,6,R
Eichenwalde,Defense,?SHD,?GLA,0:20,37,7,2,0,1,R
Junkertown,Attack,?DAL,?SEO,5:28,22,3,0,1,0,B
Junkertown,Attack,?DAL,?SEO,6:16,38,10,5,5,1,R
Junkertown,Attack,?DAL,?SEO,4:34,20,6,4,2,2,B
Junkertown,Attack,?DAL,?SEO,3:15,53,5,5,3,1,B
Junkertown,Attack,?DAL,?SEO,2:10,9,5,0,0,0,B
Junkertown,Attack,?DAL,?SEO,2:48,10,0,5,1,1,R
Junkertown,Attack,?DAL,?SEO,0:06,0,1,0,0,0,B
Junkertown,Attack,?DAL,?SEO,0:39,74,9,10,5,2,R
Junkertown,Defense,?DAL,?SEO,6:47,29,1,6,2,2,R
Junkertown,Defense,?DAL,?SEO,5:52,36,3,6,1,3,R
Junkertown,Defense,?DAL,?SEO,4:45,39,2,7,2,2,R
Junkertown,Defense,?DAL,?SEO,3:45,27,5,1,3,1,R
Junkertown,Defense,?DAL,?SEO,3:08,14,2,2,1,0,B
Junkertown,Defense,?DAL,?SEO,2:20,26,6,2,3,2,R
Junkertown,Defense,?DAL,?SEO,0:57,26,1,7,1,1,R
Junkertown,Defense,?DAL,?SEO,0:25,11,1,6,0,0,R
Junkertown,Defense,?DAL,?SEO,7:37,32,8,2,4,1,B
Temple of Anubis,Attack,?DAL,?SEO,0:29,18,6,1,0,0,B
Temple of Anubis,Attack,?DAL,?SEO,1:21,24,9,0,1,0,B
Temple of Anubis,Defense,?DAL,?SEO,1:56,16,2,6,1,0,R
Temple of Anubis,Defense,?DAL,?SEO,2:41,31,1,6,1,1,R
Temple of Anubis,Defense,?DAL,?SEO,0:46,22,5,4,3,2,R
Temple of Anubis,Defense,?DAL,?SEO,0:31,0,0,1,0,0,R
Temple of Anubis,Defense,?DAL,?SEO,1:21,36,3,7,1,5,B
Temple of Anubis,Defense,?DAL,?SEO,0:25,19,1,6,0,0,B
Temple of Anubis,Attack,?DAL,?SEO,0:16,116,26,4,8,5,R
Temple of Anubis,Defense,?DAL,?SEO,2:27,68,2,13,3,6,R
Temple of Anubis,Defense,?DAL,?SEO,0:29,9,2,6,0,0,R
Temple of Anubis,Defense,?DAL,?SEO,1:20,15,6,1,1,1,B
Temple of Anubis,Defense,?DAL,?SEO,1:59,17,1,3,2,2,R
Temple of Anubis,Attack,?DAL,?SEO,3:45,18,0,2,0,2,R
Temple of Anubis,Attack,?DAL,?SEO,3:18,13,0,2,0,0,R
Temple of Anubis,Attack,?DAL,?SEO,2:03,58,4,10,4,7,R
Temple of Anubis,Attack,?DAL,?SEO,1:17,19,1,4,0,0,R
Temple of Anubis,Attack,?DAL,?SEO,0:24,23,0,6,0,0,R
Temple of Anubis,Attack,?DAL,?SEO,4:24,40,8,3,4,3,R
Temple of Anubis,Attack,?DAL,?SEO,5:28,54,5,4,3,3,B
Ilios,Lighthouse,?DAL,?SEO,3:03,50,3,10,4,5,R
Ilios,Lighthouse,?DAL,?SEO,0:21,36,4,7,1,1,B
Ilios,Lighthouse,?DAL,?SEO,1:13,86,10,8,5,7,B
Ilios,Well,?DAL,?SEO,2:38,55,4,9,5,5,B
Ilios,Well,?DAL,?SEO,1:26,47,4,6,4,6,R
Ilios,Well,?DAL,?SEO,2:21,8,1,0,0,1,B
Ilios,Well,?DAL,?SEO,0:58,15,1,4,0,1,B
Ilios,Well,?DAL,?SEO,0:20,15,3,5,0,2,R
Numbani,Attack,?DAL,?SEO,7:04,47,6,1,3,4,B
Numbani,Attack,?DAL,?SEO,5:59,46,3,7,5,4,R
Numbani,Attack,?DAL,?SEO,5:20,20,1,4,0,1,R
Numbani,Attack,?DAL,?SEO,4:50,10,0,6,0,1,R
Numbani,Attack,?DAL,?SEO,3:57,26,6,1,3,3,B
Numbani,Attack,?DAL,?SEO,3:22,14,1,3,1,1,B
Numbani,Attack,?DAL,?SEO,2:30,21,0,6,0,1,R
Numbani,Attack,?DAL,?SEO,1:20,5,0,2,0,0,R
Numbani,Attack,?DAL,?SEO,1:41,25,5,4,4,2,B
Numbani,Attack,?DAL,?SEO,0:17,0,0,1,0,0,R
Numbani,Attack,?DAL,?SEO,0:36,27,6,1,0,0,R
Numbani,Defense,?DAL,?SEO,8:11,6,0,1,0,1,R
Numbani,Defense,?DAL,?SEO,7:09,47,5,6,6,6,B
Numbani,Defense,?DAL,?SEO,7:05,0,0,1,0,1,R
Numbani,Defense,?DAL,?SEO,6:03,29,5,2,2,1,B
Numbani,Defense,?DAL,?SEO,5:05,47,7,5,5,1,B
Numbani,Defense,?DAL,?SEO,4:12,34,6,2,0,4,B
Numbani,Defense,?DAL,?SEO,3:33,14,3,0,1,0,B
Numbani,Defense,?DAL,?SEO,2:45,31,5,6,0,1,B
Numbani,Defense,?DAL,?SEO,1:47,38,1,4,3,1,B
Numbani,Defense,?DAL,?SEO,1:36,5,1,2,1,1,R
Numbani,Defense,?DAL,?SEO,0:30,15,1,5,0,1,R
Numbani,Attack,?DAL,?SEO,0:20,8,0,5,0,0,R
Numbani,Attack,?DAL,?SEO,0:59,12,1,4,1,2,R
Numbani,Defense,?DAL,?SEO,0:23,0,1,0,0,0,B
Numbani,Defense,?DAL,?SEO,0:51,15,6,0,2,1,B
Dorado,Attack,?LDN,?FLA,1:10,25,3,4,1,0,B
Dorado,Attack,?LDN,?FLA,1:58,11,1,2,1,2,R
Dorado,Attack,?LDN,?FLA,2:23,12,6,1,1,2,B
Dorado,Attack,?LDN,?FLA,3:10,15,3,0,3,0,B
Dorado,Attack,?LDN,?FLA,3:48,22,2,4,1,1,B
Dorado,Attack,?LDN,?FLA,4:50,11,2,1,0,0,B
Dorado,Attack,?LDN,?FLA,5:19,40,4,7,3,1,R
Dorado,Attack,?LDN,?FLA,6:27,8,1,1,1,1,R
Dorado,Defense,?LDN,?FLA,0:45,10,2,3,0,0,R
Dorado,Defense,?LDN,?FLA,1:44,9,3,1,0,0,R
Dorado,Defense,?LDN,?FLA,2:27,40,5,7,3,4,B
Dorado,Defense,?LDN,?FLA,3:13,19,0,3,1,1,R
Temple of Anubis,Attack,?LDN,?FLA,0:29,17,6,1,0,0,B
Temple of Anubis,Attack,?LDN,?FLA,1:26,53,10,7,2,1,R
Temple of Anubis,Attack,?LDN,?FLA,3:06,10,3,1,3,1,B
Temple of Anubis,Defense,?LDN,?FLA,0:54,6,2,0,0,0,B
Temple of Anubis,Defense,?LDN,?FLA,1:25,19,3,0,1,0,B
Temple of Anubis,Defense,?LDN,?FLA,2:24,41,2,7,4,3,R
Temple of Anubis,Defense,?LDN,?FLA,3:39,26,4,3,0,3,B
Temple of Anubis,Defense,?LDN,?FLA,4:44,41,7,7,4,2,R
